Subject,Run,Task,Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,Spectral Entropy,Mean Coherence
20,5,sleep,1.37027884220494e-09,4.3644658076312607e-10,1.0263823822677062e-10,1.2237747302935906e-09,8.410645904812273e-10,4.053935365339742,-0.0042291682635823
20,2,sleep,8.57107257485886e-10,3.3811334468619016e-10,1.413541462876509e-10,3.6816617131332893e-09,1.5971742296901903e-09,4.01709593861528,-0.0095804546062374
20,4,sleep,1.1322283612672583e-09,3.668483448865728e-10,9.372717382745756e-11,1.5421814688926352e-09,1.0378109786067027e-09,4.033486935729638,-0.003245952291403
20,1,sleep,8.683663687129198e-10,3.68406542281999e-10,1.7084653986629678e-10,4.292896619544053e-09,1.7601936622985923e-09,4.01678813792358,-0.0011878613323989
20,1,rest,7.894570110488552e-10,3.6004584640902133e-10,2.371810001131209e-10,6.556846930594993e-09,2.374845783260559e-09,4.014788798590756,-0.0067565127714928
20,2,rest,7.57254168309483e-10,3.243230671940549e-10,1.8410761364542027e-10,5.146556907541922e-09,2.0119203577028836e-09,4.013744004599195,-0.0051238006714558
20,3,sleep,7.481032673385121e-10,3.017096275173838e-10,1.0452012209574154e-10,2.520989990105086e-09,1.2531235385216814e-09,4.016314629394053,-0.0033250523867089
21,1,rest,2.9321065365642024e-10,1.5781848198121847e-10,1.889934089179661e-10,5.710069485601354e-09,2.051908633854225e-09,3.988732705948732,-0.0136029732494798
21,2,rest,3.8380521527264465e-10,1.4765169223525114e-10,1.5555407823586588e-10,4.616723507845685e-09,1.739728599368758e-09,3.992107839693968,0.0010258903561233
22,3,sleep,1.0671077075149912e-09,8.141996486688481e-10,1.1796339611401322e-09,1.6372564656185893e-08,4.085995271185185e-09,4.001983471477231,0.0472263083419993
22,8,sleep,1.3460178453299564e-09,1.1357091529358503e-09,1.7881576025480687e-09,2.6702394844879134e-08,6.2686009399140014e-09,3.994744810977516,0.0164644326715665
22,2,rest,1.1142450750608423e-09,7.196130263306401e-10,9.603670337341587e-10,1.2751515138498033e-08,3.287461678755679e-09,4.006794037230817,0.0316204261158287
22,1,rest,9.660344471687386e-10,6.325268458348655e-10,8.3319359703264e-10,1.1041547041907256e-08,2.8864325056646092e-09,4.132563415101954,0.0288400735300434
22,5,sleep,1.156353451518942e-09,9.296941392778023e-10,1.4122142634336203e-09,2.039552060777213e-08,4.974881862915721e-09,3.996444559440439,0.0143236319511494
22,4,sleep,1.0616430649501106e-09,8.742917712221904e-10,1.3090837130017807e-09,1.862367051051698e-08,4.617202260757568e-09,3.9974240100945577,0.0164685054209672
22,7,sleep,1.2524147716793392e-09,1.0724567271191387e-09,1.648419886968434e-09,2.4495066728590186e-08,5.795578113642315e-09,3.994219270812852,0.019067580976895
22,2,sleep,9.456192021397126e-10,7.80980638618272e-10,1.1544375689523699e-09,1.6024240973791083e-08,4.020444043024459e-09,4.000617789933699,0.0446533840159311
22,6,sleep,1.1759768578717211e-09,9.687916451955266e-10,1.455573014531735e-09,2.1082921852689214e-08,5.061508750007388e-09,3.996494377815358,0.0155823294184794
22,1,sleep,9.538777055340502e-10,7.35770863349397e-10,1.0648716422894795e-09,1.460098067736658e-08,3.7177161676671442e-09,4.00118677127228,0.0226310862994415
23,4,sleep,7.077440391710411e-10,1.6553018290224328e-10,4.670857651467002e-11,1.5877345162981144e-09,5.845030916642283e-10,4.080944437603673,0.0272946646466098
23,1,sleep,9.991010145806203e-10,2.2178625659116926e-10,7.551115559358241e-11,1.823184126956164e-09,5.654254670971284e-10,4.031809155137266,0.030299042672225
23,3,sleep,8.453158338699313e-10,1.5659927593603348e-10,5.0496611563057845e-11,1.808511015847205e-09,5.971444892166484e-10,4.051690093693939,0.02659600224027
23,2,rest,9.72138592813406e-10,2.1501811762996632e-10,7.388440157418088e-11,2.083365876958565e-09,6.404796356803113e-10,4.015665630918913,0.0506819659433491
23,1,rest,7.895648704972122e-10,1.6775040532448652e-10,5.1398301741242285e-11,1.6732390352133082e-09,5.818477725642901e-10,4.008432403105946,0.0801746532416682
23,8,sleep,1.0122216020125266e-09,2.0350824462641907e-10,4.245805352904115e-11,6.695888114312961e-10,5.834047122574193e-10,4.058809688600983,0.0312119187314362
23,7,sleep,8.521225981582677e-10,1.7780730108166128e-10,3.901611330546916e-11,9.430273093427614e-10,5.602091707295104e-10,4.114852632436904,0.0309861805023778
